cell,x_um,y_um,orient
VIA_L1M1_PR_MR,171.81,12.07,N
VIA_L1M1_PR_MR,172.27,12.07,N
VIA_M1M2_PR,173.65,12.07,N
VIA_L1M1_PR_MR,173.65,12.07,N
VIA_L1M1_PR_MR,174.11,12.07,N
VIA_M1M2_PR,174.11,12.07,N
VIA_M1M2_PR,175.49,12.07,N
VIA_L1M1_PR_MR,176.87,12.07,N
VIA_L1M1_PR_MR,181.01,12.07,N
VIA_M1M2_PR,181.93,12.07,N
VIA_L1M1_PR_MR,181.93,12.07,N
VIA_L1M1_PR_MR,182.85,12.07,N
VIA_M1M2_PR,185.15,12.07,N
VIA_L1M1_PR_MR,185.61,12.07,N
VIA_M1M2_PR,186.07,12.07,N
VIA_L1M1_PR_MR,186.07,12.07,N
VIA_M1M2_PR,186.99,12.07,N
VIA_L1M1_PR_MR,186.99,12.07,N
VIA_L1M1_PR_MR,160.31,12.41,N
VIA_M1M2_PR,160.31,12.41,N
VIA_L1M1_PR_MR,165.37,12.41,N
VIA_M1M2_PR,165.37,12.41,N
VIA_M1M2_PR,168.59,12.41,N
VIA_M1M2_PR,172.73,12.41,N
VIA_L1M1_PR_MR,172.73,12.41,N
VIA_M1M2_PR,179.17,12.41,N
VIA_L1M1_PR_MR,179.63,12.41,N
VIA_M1M2_PR,179.63,12.41,N
VIA_L1M1_PR_MR,187.91,12.41,N
VIA_M1M2_PR,189.75,12.41,N
VIA_M2M3_PR,163.99,12.58,N
VIA_M2M3_PR,171.35,12.58,N
VIA_M2M3_PR,172.73,12.58,N
VIA_M2M3_PR,186.53,12.58,N
VIA_L1M1_PR_MR,163.99,12.75,N
VIA_M1M2_PR,166.75,12.75,N
VIA_M1M2_PR,173.19,12.75,N
VIA_M1M2_PR,174.11,12.75,N
VIA_L1M1_PR_MR,180.55,12.75,N
VIA_M1M2_PR,159.39,13.09,N
VIA_L1M1_PR_MR,168.59,13.09,N
VIA_M1M2_PR,169.05,13.09,N
VIA_M1M2_PR,172.27,13.09,N
VIA_L1M1_PR_MR,178.71,13.09,N
VIA_M1M2_PR,181.93,13.09,N
VIA_L1M1_PR_MR,181.93,13.09,N
VIA_M2M3_PR,171.81,13.26,N
VIA_M3M4_PR,174.34,13.26,N
VIA_M2M3_PR,180.09,13.26,N
VIA_M3M4_PR,182.62,13.26,N
VIA_via3_4_2000_480_1_5_400_400,26.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,26.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,26.44,13.6,N
VIA_via2_3_2000_480_1_6_320_320,56.44,13.6,N
VIA_via3_4_2000_480_1_5_400_400,56.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,56.44,13.6,N
VIA_via4_5_2000_480_1_5_400_400,86.44,13.6,N
